山东卫视,rtp://239.253.254.78:8000
山东新闻,rtp://239.253.254.23:8000
山东综艺,rtp://239.253.254.159:8000
山东农科,rtp://239.253.254.24:8000
山东齐鲁,rtp://239.253.254.114:8000
山东少儿,rtp://239.253.254.25:8000
山东生活,rtp://239.253.254.151:8000
山东文旅,rtp://239.253.254.160:8000
山东体育,rtp://239.253.254.22:8000
山东教育,rtp://239.253.254.59:8000
青岛QTV1,rtp://239.253.254.249:8000
青岛QTV2,rtp://239.253.254.250:8000
青岛QTV3,rtp://239.253.254.251:8000
青岛QTV4,rtp://239.253.254.252:8000
青岛生活,rtp://239.253.254.244:8000
青岛综合,rtp://239.253.254.243:8000
莱西综合,rtp://239.253.254.247:8000
崂山电视台,rtp://239.253.254.242:8000
平度新闻综合,rtp://239.253.254.248:8000
海洋频道,rtp://239.253.254.67:8000
