# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.


👉卡顿请左右键切换源👈,https://d.kstore.dev/download/7692/1.mp4$!
👉选择流畅的线路观看👈,https://d.kstore.dev/download/7692/1.mp4$!

CCTV1,http://39.170.52.236:808/hls/1/index.m3u8$!
CCTV2,http://39.170.52.236:808/hls/2/index.m3u8$!
CCTV3,http://39.170.52.236:808/hls/3/index.m3u8$!
CCTV4,http://39.170.52.236:808/hls/4/index.m3u8$!
CCTV5,http://39.170.52.236:808/hls/5/index.m3u8$!
CCTV6,http://39.170.52.236:808/hls/6/index.m3u8$!
CCTV7,http://39.170.52.236:808/hls/7/index.m3u8$!
CCTV8,http://39.170.52.236:808/hls/8/index.m3u8$!
CCTV9,http://39.170.52.236:808/hls/9/index.m3u8$!
CCTV10,http://39.170.52.236:808/hls/10/index.m3u8$!
CCTV11,http://39.170.52.236:808/hls/11/index.m3u8$!
CCTV12,http://39.170.52.236:808/hls/12/index.m3u8$!
CCTV13,http://39.170.52.236:808/hls/13/index.m3u8$!
CCTV14,http://39.170.52.236:808/hls/14/index.m3u8$!
CCTV15,http://39.170.52.236:808/hls/15/index.m3u8$!
CCTV16,http://39.170.52.236:808/hls/16/index.m3u8$!
CCTV17,http://39.170.52.236:808/hls/17/index.m3u8$!
江苏卫视,http://39.170.52.236:808/hls/26/index.m3u8$!
北京卫视,http://39.170.52.236:808/hls/27/index.m3u8$!
深圳卫视,http://39.170.52.236:808/hls/28/index.m3u8$!
安徽卫视,http://39.170.52.236:808/hls/29/index.m3u8$!
广东卫视,http://39.170.52.236:808/hls/30/index.m3u8$!
天津卫视,http://39.170.52.236:808/hls/31/index.m3u8$!
山东卫视,http://39.170.52.236:808/hls/32/index.m3u8$!
湖北卫视,http://39.170.52.236:808/hls/33/index.m3u8$!
重庆卫视,http://39.170.52.236:808/hls/34/index.m3u8$!
