# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.






民视,rtmp://f13h.mine.nu/sat/tv051$!
台视,rtmp://f13h.mine.nu/sat/tv071$!
中视,rtmp://f13h.mine.nu/sat/tv091$!
华视,rtmp://f13h.mine.nu/sat/tv111$!
非凡新闻,rtmp://f13h.mine.nu/sat/tv581$!
东森超视,rtmp://f13h.mine.nu/sat/tv331$!
纬来体育,rtmp://f13h.mine.nu/sat/tv721$!
纬来育乐,rtmp://f13h.mine.nu/sat/tv701$!
纬来日本,rtmp://f13h.mine.nu/sat/tv771$!
MOMO综合,rtmp://f13h.mine.nu/sat/tv761$!
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731$!
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741$!
ELTA体育3,rtmp://9hv9.mine.nu/sat/md011$!
ELTA体育4,rtmp://9hv9.mine.nu/sat/md021$!




