🐼电视公告,#genre#

温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8$官方源ᴴᴰ
接口免费,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
拒绝收费,https://gitee.com/kdsb/sf/raw/master/ad.mp4
如果已收,https://cccimg.com/down.php/a2edaf1d6c0d503f8f7b0b21a3aad670.mp4
申请退费,https://gitee.com/kdsb/sf/raw/master/ad.mp4
更新2025-9-2,https://gitee.com/kdsb/sf/raw/master/ad.mp4
已运行652天,https://gitee.com/kdsb/sf/raw/master/ad.mp4

💝更新通知,#genre#
接口更新,https://gitee.com/kdsb/sf/raw/master/ad.mp4
请查看群公告,https://gitee.com/kdsb/sf/raw/master/ad.mp4
获取最新接口,https://gitee.com/kdsb/sf/raw/master/ad.mp4
CCTV-1综合标清,https://gitee.com/kdsb/sf/raw/master/ad.mp4
CCTV-13新闻标清,https://gitee.com/kdsb/sf/raw/master/ad.mp4
