央视频道,#genre#


CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV1,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv1.php
CCTV2,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv2.php
CCTV3,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv3.php

CCTV3,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV4,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv4.php
CCTV5,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv5.php
CCTV5+,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv5p.php?id=301 
CCTV6,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv6.php
CCTV7,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv7.php
CCTV8,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv8.php
CCTV9,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv9.php
CCTV10,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv10.php
CCTV11,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv11.php
CCTV12,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv12.php
CCTV13,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv13.php
CCTV14,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv14.php
CCTV15,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv15.php
CCTV16,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv16.php
CCTV17,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv17.php

CGTN,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/CGTN.php?id=301
CGTN纪录,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/CGTN纪录.php?id=301
CGTN西语,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/CGTN西语.php?id=301
CGTN法语,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/CGTN法语.php?id=301
CGTN阿语,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/CGTN阿语.php?id=301
CGTN俄语,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/CGTN俄语.php?id=301

CHC影迷电影,http://mg.hmysapp.cn:177/咪咕央视/CHC影迷电影.php?id=301
CHC动作电影,http://mg.hmysapp.cn:177/咪咕央视/CHC动作电影.php?id=301
CHC家庭影院,http://mg.hmysapp.cn:177/咪咕央视/CHC家庭影院.php?id=301


卫视频道,#genre#
浙江卫视,http://mg.hmysapp.cn:177/卫视/浙江卫视.php?id=301
湖南卫视,http://mg.hmysapp.cn:177/卫视/湖南卫视.php?id=301
江苏卫视,http://mg.hmysapp.cn:177/卫视/江苏卫视.php?id=301
东方卫视,http://mg.hmysapp.cn:177/卫视/东方卫视.php?id=301
北京卫视,http://mg.hmysapp.cn:177/卫视/北京卫视.php?id=301
广东卫视,http://mg.hmysapp.cn:177/卫视/广东卫视.php?id=301
深圳卫视,http://mg.hmysapp.cn:177/卫视/深圳卫视.php?id=301
