
联通-组播1,#genre#
CCTV1,http://45.192.97.170:8880/play/314.m3u8
CCTV2,http://45.192.97.170:8880/play/315.m3u8
CCTV3,http://45.192.97.170:8880/play/316.m3u8
CCTV4,http://45.192.97.170:8880/play/317.m3u8
CCTV5,http://45.192.97.170:8880/play/318.m3u8
CCTV5+,http://45.192.97.170:8880/play/319.m3u8
CCTV6,http://45.192.97.170:8880/play/320.m3u8
CCTV7,http://45.192.97.170:8880/play/321.m3u8
CCTV8,http://45.192.97.170:8880/play/322.m3u8
CCTV9,http://45.192.97.170:8880/play/323.m3u8
CCTV10,http://45.192.97.170:8880/play/324.m3u8
CCTV11,http://45.192.97.170:8880/play/325.m3u8
CCTV12,http://45.192.97.170:8880/play/326.m3u8
CCTV13,http://45.192.97.170:8880/play/327.m3u8
CCTV14,http://45.192.97.170:8880/play/328.m3u8
CCTV15,http://45.192.97.170:8880/play/329.m3u8
CCTV16,http://45.192.97.170:8880/play/330.m3u8
CCTV17,http://45.192.97.170:8880/play/331.m3u8
CCTV-1,http://45.192.97.170:8880/play/1.m3u8
CCTV-2,http://45.192.97.170:8880/play/2.m3u8
CCTV-3,http://45.192.97.170:8880/play/3.m3u8
CCTV-4,http://45.192.97.170:8880/play/4.m3u8
CCTV-5,http://45.192.97.170:8880/play/5.m3u8
CCTV-5+,http://45.192.97.170:8880/play/6.m3u8
CCTV-6,http://45.192.97.170:8880/play/7.m3u8
CCTV-7,http://45.192.97.170:8880/play/8.m3u8
CCTV-8,http://45.192.97.170:8880/play/9.m3u8
CCTV-9,http://45.192.97.170:8880/play/10.m3u8
CCTV-10,http://45.192.97.170:8880/play/11.m3u8
CCTV-11,http://45.192.97.170:8880/play/12.m3u8
CCTV-12,http://45.192.97.170:8880/play/13.m3u8
CCTV-13,http://45.192.97.170:8880/play/14.m3u8
CCTV-14,http://45.192.97.170:8880/play/15.m3u8
CCTV-15,http://45.192.97.170:8880/play/16.m3u8
CCTV-17,http://45.192.97.170:8880/play/17.m3u8
CCTV1综合,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV2财经,https://live.chinacert.cftest5.cn/cnmg/live/631780532
CCTV3综艺,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV4中文国际,https://live.chinacert.cftest5.cn/cnmg/live/631780421
CCTV4欧洲,https://live.chinacert.cftest5.cn/cnmg/live/608807419
CCTV4美洲,https://live.chinacert.cftest5.cn/cnmg/live/608807416
CCTV5体育,https://live.chinacert.cftest5.cn/cnmg/live/641886683
CCTV5+体育赛事,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV6电影,https://live.chinacert.cftest5.cn/cnmg/live/624878396
CCTV7国防军事,https://live.chinacert.cftest5.cn/cnmg/live/673168121
CCTV8电视剧,https://live.chinacert.cftest5.cn/cnmg/live/624878356
CCTV9纪录,https://live.chinacert.cftest5.cn/cnmg/live/673168140
CCTV10科教,https://live.chinacert.cftest5.cn/cnmg/live/624878405
CCTV11戏曲,https://live.chinacert.cftest5.cn/cnmg/live/667987558
CCTV12社会与法,https://live.chinacert.cftest5.cn/cnmg/live/673168185
CCTV13新闻,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV14少儿,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV15音乐,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV17农业农村,https://live.chinacert.cftest5.cn/cnmg/live/673168256




山东卫视HD,http://192.151.150.154/live/sdwshd.m3u8
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
山东卫视高清,http://mg.hmysapp.cn:177/卫视/山东卫视.php?id=301
山东综艺,http://39.77.24.219:4002/rtp/239.253.254.159:8000
山东综艺,http://39.77.26.255:4002/rtp/239.253.254.159:8000
山东综艺,http://39.77.158.228:4002/rtp/239.253.254.159:8000
山东综艺,http://39.77.22.252:4002/rtp/239.253.254.159:8000
山东综艺,http://39.77.27.90:4002/rtp/239.253.254.159:8000
山东生活,http://39.77.24.219:4002/rtp/239.253.254.151:8000
山东生活,http://39.77.26.255:4002/rtp/239.253.254.151:8000
山东生活,http://39.77.158.228:4002/rtp/239.253.254.151:8000
山东生活,http://39.77.22.252:4002/rtp/239.253.254.151:8000
山东生活,http://39.77.27.90:4002/rtp/239.253.254.151:8000
山东体育,http://144.255.31.236:6688/udp/239.21.1.141:5002
山东新闻,http://39.77.24.219:4002/rtp/239.253.254.23:8000
山东新闻,http://39.77.26.255:4002/rtp/239.253.254.23:8000
山东新闻,http://39.77.158.228:4002/rtp/239.253.254.23:8000
山东新闻,http://39.77.22.252:4002/rtp/239.253.254.23:8000
