央视频道,#genre#
CCTV-1高清,http://hk-2.qwq.fan:49160/proxy/zmHygRxqSdMmnaeLM6ODhQ.m3u8
CCTV-2高清,http://hk-2.qwq.fan:49160/proxy/Z-fi6TEFD6Y2TsuJollFiQ.m3u8
CCTV-3高清,http://hk-2.qwq.fan:49160/proxy/ktnU630DxOwxlasac-1J7g.m3u8
CCTV-4高清,http://hk-2.qwq.fan:49160/proxy/fHDgv6V05E9ABIMF1PT9sw.m3u8
CCTV-5高清,http://hk-2.qwq.fan:49160/proxy/YlbEthbS-_kLn5fNb-m8fg.m3u8
CCTV-6高清,http://hk-2.qwq.fan:49160/proxy/NHovXlaOP4_esj0MSFxEOg.m3u8
CCTV-7高清,http://hk-2.qwq.fan:49160/proxy/8UbO88APsMfvBL7Za-LgWA.m3u8
CCTV-8高清,http://hk-2.qwq.fan:49160/proxy/sZn2k9nijFZF_j87TQib-Q.m3u8
CCTV-9高清,http://hk-2.qwq.fan:49160/proxy/rbaQTeSIw8sQXFci-HdgSQ.m3u8
CCTV-10高清,http://hk-2.qwq.fan:49160/proxy/X8nnAIbDrlPgqTotjTUFMA.m3u8
CCTV-11戏曲,http://hk-2.qwq.fan:49160/proxy/TJz_au1EO6WXPBjuzPnJHA.m3u8
CCTV-12高清,http://hk-2.qwq.fan:49160/proxy/b28m0gP57_c7zp3tIYmJNQ.m3u8
CCTV-13新闻,http://hk-2.qwq.fan:49160/proxy/0KguTlt5rO8rGuYnwEyF5w.m3u8
CCTV-14高清,http://hk-2.qwq.fan:49160/proxy/ZGydKR4Igbk6wxlyxBk--Q.m3u8
CCTV-15音乐,http://hk-2.qwq.fan:49160/proxy/m_pGIH2_F8dmZBhUP-J6iw.m3u8
CCTV-17高清,http://hk-2.qwq.fan:49160/proxy/bb5J-ynXZ3yr_9HCEWh9XA.m3u8
卫视频道,#genre#
江苏卫视高清,http://hk-2.qwq.fan:49160/proxy/waIFGX0RI1rtmuP0jPNM9L2XM5uPqx0WQbGZiPEKECU.m3u8
浙江卫视高清,http://hk-2.qwq.fan:49160/proxy/Zhu3Tr4MRP9xdAl_87HIeKM1cQITuLQv7bhGK-F7G2Q.m3u8
东方卫视高清,http://hk-2.qwq.fan:49160/proxy/rmuaEp-mdMdULDSsCnRHtXYRMCNZUW4MMPCvaB-_7h8.m3u8
北京卫视高清,http://hk-2.qwq.fan:49160/proxy/RgQTVMDIrf3yri8uKGcztqlmvN2qYbQaGJ3exff-XDQ.m3u8
广东卫视高清,http://hk-2.qwq.fan:49160/proxy/i0An3rnfhF0Bgy-C52_q_D_M6cez1_1U4KvlN-h5eXY.m3u8
深圳卫视高清,http://hk-2.qwq.fan:49160/proxy/EIur93wJptLn5InbsjneXd1GiAf4o884Dr-HuYWpIf4.m3u8
天津卫视高清,http://hk-2.qwq.fan:49160/proxy/qZPyISLdBjrMdYSjP_BVP8IWe-elM_htez71CuPNr3o.m3u8
湖北卫视高清,http://hk-2.qwq.fan:49160/proxy/Bf9QV2c6GlZJaeshzng6menu9brNtKLEUiVmJT2wRKk.m3u8
安徽卫视高清,http://hk-2.qwq.fan:49160/proxy/YkHI7VrR72vOn1A08t9E3jxKfx6SMuQm105oks0wwXQ.m3u8
重庆卫视高清,http://hk-2.qwq.fan:49160/proxy/Siat7Q7yBNGVOtQ2wUg4ejbvwZ4zpdnmeQIh4sQBUAw.m3u8
黑龙江卫视高清,http://hk-2.qwq.fan:49160/proxy/YMVQDzMM0kJ0rvkhqO_ubYwuqivNlf6SjHsyWVmbY6s.m3u8
辽宁卫视高清,http://hk-2.qwq.fan:49160/proxy/xvFgVFYNSu1TvNvOpee0aR4tBFbKv-_CEeEpo_1dvLw.m3u8
广西卫视高清,http://hk-2.qwq.fan:49160/proxy/niaTjK7VU-5CYTkYrtDx92qXsYaAWi4ejPAtX6oPK-Q.m3u8
青海卫视高清,http://hk-2.qwq.fan:49160/proxy/Kfb2lgn8GUwQMLdFVTbog4fmIfEDr09WfInkM2vhfMA.m3u8
山西卫视高清,http://hk-2.qwq.fan:49160/proxy/_GUZ0Qq0jdMg43ZsaMuP4KJknnMl5J6C5HIDAqwGvIo.m3u8
内蒙古卫视高清,http://hk-2.qwq.fan:49160/proxy/1p5JFkW3dlVZ-zLafXqe9Xkt0e2XXGbQlIIxJJjUO4c.m3u8
宁夏卫视高清,http://hk-2.qwq.fan:49160/proxy/RAj2nLEKm19kUeZm0b9N_wg-vRHE-q_peAHJ3d3U5eo.m3u8
云南卫视高清,http://hk-2.qwq.fan:49160/proxy/n5bsGB7QWWjADHJwMR2ZPJAU38z0s2XTX1JpCGRqBXI.m3u8
西藏卫视高清,http://hk-2.qwq.fan:49160/proxy/W6xim8P16aD8NUU51xWZ7zYrm0Z_J3jq34z11So0Rt0.m3u8
陕西卫视高清,http://hk-2.qwq.fan:49160/proxy/PHAUe-eNzhfx6PlknZkQdhDkmkxHSb1f6IIQoXtxLtM.m3u8
新疆卫视高清,http://hk-2.qwq.fan:49160/proxy/kL6tbLzJUb55xDYm4ZoKsA4ncQBlaBtdc7gQpbRwIEI.m3u8
兵团卫视高清,http://hk-2.qwq.fan:49160/proxy/8LBsYVQ0DO6rYtY8etxfrZuqbueeWDWvxFJqTCOk9Do.m3u8
咪视通,#genre#
咪咕4K-1,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=toShengfen&/PLTV/&
咪咕4K-2,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=toShengfen&/PLTV/&
咪视通-1,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-2,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-3,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-4,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-5,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-6,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-7,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-8,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-9,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-10,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-11,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005837&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-12,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-13,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-14,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-15,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-16,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-17,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-18,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011524&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-19,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-20,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-21,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-22,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011530&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-23,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011531&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-24,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-25,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-26,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-27,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-28,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-29,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006077&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-30,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-31,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-32,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-33,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-34,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-35,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-36,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-37,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015470&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-38,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015560&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-39,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000017678&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-40,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-41,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-42,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-43,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-44,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
咪视通-45,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=toShengfen&/PLTV/&hostip=&
itv体育咪咕,#genre#
晴彩广场舞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011523/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=YanG-1989
晴彩少年「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011525/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=YanG-1989
晴彩竞技「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011528/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=YanG-1989
晴彩篮球「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011529/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=YanG-1989
咪咕直播4K「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000005180/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=YanG-1989
