
央视卫视,#genre#

CCTV1,http://go.bkpcp.top/mg/cctv1 
CCTV2,http://go.bkpcp.top/mg/cctv2 
CCTV3,http://go.bkpcp.top/mg/cctv3 
CCTV4,http://go.bkpcp.top/mg/cctv4 
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p 
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7 
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10 
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12 
CCTV13,http://go.bkpcp.top/mg/cctv13 
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17 
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne 
CGTN-阿,http://go.bkpcp.top/mg/cgtna 
CGTN-法,http://go.bkpcp.top/mg/cgtnf 
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视4k,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws 
兵团卫视,http://go.bkpcp.top/mg/btws 
黑龙江视,http://go.bkpcp.top/mg/hljws 
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
4K超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001
淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
淘剧场,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.95:8001
淘娱乐,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.100:8001
淘Baby,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.238:8001


战争电影,#genre#
开国大典,https://p.bvvvvvvvvv1f.com/video/kaiguodadian/HD国语/index.m3u8
地道战,https://c1.ddbbffcdn.com/video/didaozhan/HD国语/index.m3u8
战上海,https://c1.ddbbffcdn.com/video/zhanshanghai/HD国语/index.m3u8
铁道卫士,https://c1.ddbbffcdn.com/video/tiedaoweishi/HD国语/index.m3u8
战犬出击,https://p.bvvvvvvvvv1f.com/video/zhanquanchuji/HD国语版/index.m3u8
黑山阻击战,https://c1.ddbbffcdn.com/video/heishanzujizhan/HD国语/index.m3u8
狼牙山五壮士,https://p.bvvvvvvv7f.com/video/langyashanwuzhuangshi1958/高清/index.m3u8
闪闪红星,https://c1.rrcdnbf4.com/video/shanshandehongxing1974/HD国语/index.m3u8
地道战,https://c1.rrcdnbf6.com/video/didaozhangaoqingban/HD/index.m3u8
平原游击队,https://c1.rrcdnbf2.com/video/pingyuanyoujidui/HD国语/index.m3u8
红色的种子,https://c1.rrcdnbf6.com/video/hongsedezhongzi/HD/index.m3u8
洪湖赤卫队,https://c1.rrcdnbf2.com/video/honghuchiweidui/HD国语/index.m3u8
小兵张嘎,https://p.bvvvvvvvvv1f.com/video/xiaobingzhangga/HD中字版/index.m3u8
延安游击队,https://c1.rrcdnbf2.com/video/yananyoujidui/HD国语/index.m3u8
智取华山,https://c1.rrcdnbf2.com/video/zhiquhuashan/HD国语/index.m3u8
红河激浪,https://c1.rrcdnbf6.com/video/honghejilang/HD/index.m3u8
带兵的人,https://c1.rrcdnbf6.com/video/daibingderen/HD/index.m3u8
突破乌江,https://c1.rrcdnbf2.com/video/tupowujiang/HD国语/index.m3u8
七七事变,https://p.bvvvvvvvvv1f.com/video/qiqishibian/HD国语/index.m3u8
长征,https://p.bvvvvvvvvv1f.com/video/changzheng/HD国语/index.m3u8
红巴山,https://p.bvvvvvvvvv1f.com/video/hongbashan/HD国语版/index.m3u8
鸡毛信,https://c1.rrcdnbf2.com/video/jimaoxin/HD国语/index.m3u8
红孩子,https://c1.rrcdnbf2.com/video/honghaizi/HD国语/index.m3u8
海魂,https://c1.rrcdnbf2.com/video/haihun1958/HD国语/index.m3u8
犬王,https://p.bvvvvvvvvv1f.com/video/quanwang/HD国语/index.m3u8

春晚现场,#genre#

1985年央视春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
1986年央视春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
1987年央视春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
1988年央视春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
1989年央视春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
1990年央视春晚,https://cdn8.yzzy-online.com/20220704/597_e0d90c37/1000k/hls/index.m3u8
1991年央视春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjI2MTVfNDAzMDAxOTlfNjYyNzYwNjUxNjVfMF8z_b_B8feb7b85888678d71bf37a259c6850f6.mp4
1992年央视春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
1993年央视春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYwODJfMF8z_b_B647d10e431b4cc5e48e6c77347d69021.mp4
