山东,#genre#
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
山东卫视,http://204.12.221.218:8181/3m1080p/sdws.m3u8
山东卫视,http://mg.hmysapp.cn:177/卫视/山东卫视.php?id=301
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
山东卫视,http://live.bypbwxx.top/live/jmysp.php?token=81671a9e82937a98e46925f9579967
山东齐鲁,http://39.89.71.136:4000/rtp/239.253.254.114:8000
山东综艺,http://39.89.71.136:4000/rtp/239.253.254.159:8000
山东生活,http://39.89.71.136:4000/rtp/239.253.254.151:8000
山东体育,http://39.89.71.136:4000/rtp/239.253.254.22:8000
山东新闻,http://39.89.71.136:4000/rtp/239.253.254.23:8000
山东农科,http://39.89.71.136:4000/rtp/239.253.254.24:8000
山东教育,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山东教育,http://112.109.206.208:9999/rtp/239.255.40.32:8208
山东文旅,http://39.89.71.136:4000/rtp/239.253.254.160:8000
济南新闻综合,http://144.255.31.236:6688/udp/239.21.1.94:5002
济南生活,http://144.255.31.236:6688/udp/239.21.1.64:5002
济南影视,http://144.255.31.236:6688/udp/239.21.1.65:5002
济南娱乐,http://144.255.31.236:6688/udp/239.21.1.66:5002
济南教育,http://144.255.31.236:6688/udp/239.21.1.133:5002
济南鲁中,http://144.255.31.236:6688/udp/239.21.1.149:5002
青岛QTV1,http://39.77.27.90:4002/rtp/239.253.254.249:8000
青岛QTV1,http://39.77.22.252:4002/rtp/239.253.254.249:8000
青岛QTV1,http://39.77.26.135:4002/rtp/239.253.254.249:8000
青岛QTV1,http://39.77.158.228:4002/rtp/239.253.254.249:8000
青岛QTV1,http://39.77.24.219:4002/rtp/239.253.254.249:8000
青岛QTV2,http://39.77.26.255:4002/rtp/239.253.254.250:8000
青岛QTV2,http://39.77.27.90:4002/rtp/239.253.254.250:8000
青岛QTV2,http://39.77.24.219:4002/rtp/239.253.254.250:8000
青岛QTV2,http://39.77.159.240:4002/rtp/239.253.254.250:8000
青岛QTV2,http://39.77.158.228:4002/rtp/239.253.254.250:8000
青岛QTV3,http://39.77.159.240:4002/rtp/239.253.254.251:8000
青岛QTV3,http://39.77.158.228:4002/rtp/239.253.254.251:8000
青岛QTV3,http://39.77.27.90:4002/rtp/239.253.254.251:8000
青岛QTV3,http://39.77.20.62:4002/rtp/239.253.254.251:8000
青岛QTV3,http://39.77.22.252:4002/rtp/239.253.254.251:8000
青岛QTV4,http://39.77.22.252:4002/rtp/239.253.254.252:8000
青岛QTV4,http://39.77.20.62:4002/rtp/239.253.254.252:8000
青岛QTV4,http://39.77.27.90:4002/rtp/239.253.254.252:8000
青岛QTV4,http://39.77.26.135:4002/rtp/239.253.254.252:8000
青岛QTV4,http://39.77.24.219:4002/rtp/239.253.254.252:8000
青岛综合,http://39.77.27.90:4002/rtp/239.253.254.243:8000
青岛综合,http://39.77.158.228:4002/rtp/239.253.254.243:8000
青岛综合,http://39.77.26.135:4002/rtp/239.253.254.243:8000
青岛综合,http://39.77.159.240:4002/rtp/239.253.254.243:8000
青岛综合,http://39.77.26.255:4002/rtp/239.253.254.243:8000
青岛生活,http://39.77.27.90:4002/rtp/239.253.254.244:8000
青岛生活,http://39.89.71.136:4000/rtp/239.253.254.244:8000
青岛生活,http://39.77.22.252:4002/rtp/239.253.254.244:8000
青岛生活,http://39.77.158.228:4002/rtp/239.253.254.244:8000
青岛生活,http://39.77.24.219:4002/rtp/239.253.254.244:8000
黄岛生活,http://1.94.31.214/php/qilu.php?id=qdhdsh
崂山电视台,http://39.77.27.90:4002/rtp/239.253.254.242:8000
崂山电视台,http://39.77.26.135:4002/rtp/239.253.254.242:8000
崂山电视台,http://39.77.24.219:4002/rtp/239.253.254.242:8000
崂山电视台,http://39.77.159.240:4002/rtp/239.253.254.242:8000
崂山电视台,http://39.77.22.252:4002/rtp/239.253.254.242:8000
莱西综合频道,http://39.77.158.228:4002/rtp/239.253.254.247:8000
莱西综合频道,http://39.77.22.252:4002/rtp/239.253.254.247:8000
莱西综合频道,http://39.77.159.240:4002/rtp/239.253.254.247:8000
莱西综合频道,http://39.77.26.255:4002/rtp/239.253.254.247:8000
莱西综合频道,http://39.77.20.62:4002/rtp/239.253.254.247:8000
烟台新闻综合,http://144.255.31.236:6688/udp/239.21.1.116:5002
烟台公共,http://144.255.31.236:6688/udp/239.21.1.117:5002
烟台经济科技,http://144.255.31.236:6688/udp/239.21.1.205:5002
烟台影视,http://144.255.31.236:6688/udp/239.21.1.204:5002
淄博新闻综合,http://144.255.31.236:6688/udp/239.21.1.84:5002
淄博都市,http://144.255.31.236:6688/udp/239.21.1.83:5002
淄博生活,http://144.255.31.236:6688/udp/239.21.1.109:5002
